Some words, and then some.
99 bottles of beer on the wall, 99 bottles of beer.
Take one down and pass it around, 98 bottles of beer on the wall.

98 bottles of beer on the wall, 98 bottles of beer.
Take one down and pass it around, 97 bottles of beer on the wall.
Take one down and pass it around, 96 bottles of beer on the wall.
Take one down and pass it around, 95 bottles of beer on the wall.
Take one down and pass it around, 94 bottles of beer on the wall.
Take one down and pass it around, 93 bottles of beer on the wall.
Take one down and pass it around, 92 bottles of beer on the wall.
Take one down and pass it around, 91 bottles of beer on the wall.
Take one down and pass it around, 90 bottles of beer on the wall.
Take one down and pass it around, 89 bottles of beer on the wall.
Take one down and pass it around, 87 bottles of beer on the wall.

